game	prefix	league
poe1	3.16	Scourge
poe1	3.17	Archnemesis
poe1	3.18	Sentinel
poe1	3.19	Kalandra
poe1	3.20	Sanctum
poe1	3.21	Crucible
poe1	3.22	Ancestor
poe1	3.23	Affliction
poe1	3.24	Necropolis
poe1	3.25	Settlers
poe1	3.26	Mercenaries
poe1	3.27	Keepers
poe1	3.28	Mirage
